year,province,gdp,capital,labor,edu
2001,江西,444.654,2254.86,1934.174,8.309
2002,江西,491.342,2607.45,1944.084,8.003
2003,江西,555.217,3109.11,1963.677,8.975
2004,江西,628.505,3722.73,2006.03,8.562
2005,江西,708.954,4432.09,2073.641,8.103
2006,江西,796.155,5232.03,2145.438,8.09
2007,江西,901.248,6095.807,2189.523,8.703
2008,江西,1020.213,6978.589,2209.466,8.626
2009,江西,1153.861,8270.412,2233.716,8.956
2010,江西,1315.401,7391.966,2275.118,8.898
1990,山东,1327.195,1256.33,4083.4,6.62
1991,山东,1520.966,1377.77,4223.6,6.782
1992,山东,1778.009,1571.67,4357.6,6.863
1993,山东,2140.723,1860.21,4439.05,6.944
1994,山东,2487.52,2168.74,4509.65,7.106
1995,山东,2835.773,2500.84,4585.85,7.187
1996,山东,3178.902,2865.49,4637.55,7.268
1997,山东,3531.76,3272.57,4678.35,7.357
1998,山东,3913.19,3739.6,4682.1,7.438
1999,山东,4304.509,4242.96,4677.876,7.614
2000,山东,4747.873,4819.92,4680.184,8.174
2001,山东,5222.66,5447.23,4666.729,8.511
2002,山东,5833.712,6227.65,4711.771,8.772
2003,山东,6615.429,7198.02,4801.272,8.596
2004,山东,7627.59,8381.06,4895.176,8.691
2005,山东,8771.728,9907.61,5025.256,8.326
2006,山东,10061.172,11663.12,5170.151,8.481
2007,山东,11489.859,13478.242,5245.849,8.562
2008,山东,12868.642,15448.41,5307.347,8.697
2009,山东,14438.616,18216.831,5401.132,8.762
2010,山东,16214.566,16243.264,5552.219,9.11
1990,河南,356.291,801.34,4075.5,6.694
1991,河南,380.875,868.14,4212.3,6.928
1992,河南,433.054,955.75,4330.4,7.045
1993,河南,501.477,1061.73,4433.8,7.162
1994,河南,570.681,1197.61,4544.95,7.397
1995,河南,655.142,1365.51,4652.8,7.514
1996,河南,746.206,1569.16,4762.95,7.631
1997,河南,823.812,1803.83,4923.1,7.871
1998,河南,896.307,2070.53,5008.3,7.923
1999,河南,968.908,2336.8,5102.308,7.801
2000,河南,1060.954,2620.73,5388.343,8.253
2001,河南,1156.44,2919.45,5544.129,8.587
2002,河南,1266.302,3261.61,5519.294,8.738
2003,河南,1401.796,3686.1,5528.838,8.493
2004,河南,1593.843,4213.43,5561.562,8.824
2005,河南,1820.168,5038.3,5624.927,8.491
2006,河南,2082.272,6174.16,5754.753,8.492
2007,河南,2386.284,7657.871,5809.909,8.548
2008,河南,2675.025,9391.223,5804.085,8.69
2009,河南,2966.602,11685.548,5892.116,8.777
2010,河南,3337.428,10432.365,5995.169,8.988
1990,湖北,288.945,364.96,2498.45,6.802
1991,湖北,308.134,390.62,2538.85,7.02
